"id";"photo";"height";"weight";"base_experience";"attack";"defense";"hp";"special_attack";"special_defense";"speed"
"umbreon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/197.png";10;270;184;65;110;95;60;130;65
"murkrow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/198.png";5;21;81;85;42;60;85;42;91
"slowking";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/199.png";20;795;172;75;80;95;100;110;30
"misdreavus";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/200.png";7;10;87;60;60;60;85;85;85
"unown";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/201.png";5;50;118;72;48;48;72;48;48
"wobbuffet";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/202.png";13;285;142;33;58;190;33;58;33
"girafarig";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/203.png";15;415;159;80;65;70;90;65;85
"pineco";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/204.png";6;72;58;65;90;50;35;35;15
"forretress";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/205.png";12;1258;163;90;140;75;60;60;40
"dunsparce";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/206.png";15;140;145;70;70;100;65;65;45
"gligar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/207.png";11;648;86;75;105;65;35;65;85
"steelix";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/208.png";92;4000;179;85;200;75;55;65;30
"snubbull";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/209.png";6;78;60;80;50;60;40;40;30
"granbull";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/210.png";14;487;158;120;75;90;60;60;45
"qwilfish";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/211.png";5;39;86;95;75;65;55;55;85
"scizor";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/212.png";18;1180;175;130;100;70;55;80;65
"shuckle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/213.png";6;205;177;10;230;20;10;230;5
"heracross";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/214.png";15;540;175;125;75;80;40;95;85
"sneasel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/215.png";9;280;86;95;55;55;35;75;115
"teddiursa";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/216.png";6;88;66;80;50;60;50;50;40
"ursaring";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/217.png";18;1258;175;130;75;90;75;75;55
"slugma";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/218.png";7;350;50;40;40;40;70;40;20
"magcargo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/219.png";8;550;144;50;120;50;80;80;30
"swinub";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/220.png";4;65;50;50;40;50;30;30;50
"piloswine";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/221.png";11;558;158;100;80;100;60;60;50
"corsola";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/222.png";6;50;133;55;85;55;65;85;35
"remoraid";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/223.png";6;120;60;65;35;35;65;35;65
"octillery";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/224.png";9;285;168;105;75;75;105;75;45
"delibird";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/225.png";9;160;116;55;45;45;65;45;75
"mantine";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/226.png";21;2200;163;40;70;65;80;140;70
"skarmory";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/227.png";17;505;163;80;140;65;40;70;70
"houndour";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/228.png";6;108;66;60;30;45;80;50;65
"houndoom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/229.png";14;350;175;90;50;75;110;80;95
"kingdra";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/230.png";18;1520;243;95;95;75;95;95;85
"phanpy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/231.png";5;335;66;60;60;90;40;40;40
"donphan";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/232.png";11;1200;175;120;120;90;60;60;50
"porygon2";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/233.png";6;325;180;80;90;85;105;95;60
"stantler";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/234.png";14;712;163;95;62;73;85;65;85
"smeargle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/235.png";12;580;88;20;35;55;20;45;75
"tyrogue";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/236.png";7;210;42;35;35;35;35;35;35
"hitmontop";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/237.png";14;480;159;95;95;50;35;110;70
"smoochum";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/238.png";4;60;61;30;15;45;85;65;65
"elekid";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/239.png";6;235;72;63;37;45;65;55;95
"magby";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/240.png";7;214;73;75;37;45;70;55;83
"miltank";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/241.png";12;755;172;80;105;95;40;70;100
"blissey";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/242.png";15;468;608;10;10;255;75;135;55
"raikou";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/243.png";19;1780;261;85;75;90;115;100;115
"entei";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/244.png";21;1980;261;115;85;115;90;75;100
"suicune";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/245.png";20;1870;261;75;115;100;90;115;85
"larvitar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/246.png";6;720;60;64;50;50;45;50;41
"pupitar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/247.png";12;1520;144;84;70;70;65;70;51
"tyranitar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/248.png";20;2020;270;134;110;100;95;100;61
"lugia";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/249.png";52;2160;306;90;130;106;90;154;110
"ho-oh";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/250.png";38;1990;306;130;90;106;110;154;90
"celebi";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/251.png";6;50;270;100;100;100;100;100;100
"treecko";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/252.png";5;50;62;45;35;40;65;55;70
"grovyle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/253.png";9;216;142;65;45;50;85;65;95
"sceptile";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/254.png";17;522;239;85;65;70;105;85;120
"torchic";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/255.png";4;25;62;60;40;45;70;50;45
"combusken";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/256.png";9;195;142;85;60;60;85;60;55
"blaziken";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/257.png";19;520;239;120;70;80;110;70;80
"mudkip";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/258.png";4;76;62;70;50;50;50;50;40
"marshtomp";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/259.png";7;280;142;85;70;70;60;70;50
"swampert";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/260.png";15;819;241;110;90;100;85;90;60
"poochyena";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/261.png";5;136;44;55;35;35;30;30;35
"mightyena";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/262.png";10;370;147;90;70;70;60;60;70
"zigzagoon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/263.png";4;175;48;30;41;38;30;41;60
"linoone";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/264.png";5;325;147;70;61;78;50;61;100
"wurmple";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/265.png";3;36;39;45;35;45;20;30;20
"silcoon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/266.png";6;100;72;35;55;50;25;25;15
"beautifly";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/267.png";10;284;178;70;50;60;100;50;65
"cascoon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/268.png";7;115;41;35;55;50;25;25;15
"dustox";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/269.png";12;316;135;50;70;60;50;90;65
"lotad";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/270.png";5;26;44;30;30;40;40;50;30
"lombre";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/271.png";12;325;119;50;50;60;60;70;50
"ludicolo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/272.png";15;550;216;70;70;80;90;100;70
"seedot";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/273.png";5;40;44;40;50;40;30;30;30
"nuzleaf";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/274.png";10;280;119;70;40;70;60;40;60
"shiftry";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/275.png";13;596;216;100;60;90;90;60;80
"taillow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/276.png";3;23;54;55;30;40;30;30;85
"swellow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/277.png";7;198;151;85;60;60;50;50;125
"wingull";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/278.png";6;95;54;30;30;40;55;30;85
"pelipper";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/279.png";12;280;151;50;100;60;85;70;65
"ralts";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/280.png";4;66;40;25;25;28;45;35;40
"kirlia";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/281.png";8;202;97;35;35;38;65;55;50
"gardevoir";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/282.png";16;484;233;65;65;68;125;115;80
"surskit";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/283.png";5;17;54;30;32;40;50;52;65
"masquerain";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/284.png";8;36;145;60;62;70;80;82;60
"shroomish";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/285.png";4;45;59;40;60;60;40;60;35
"breloom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/286.png";12;392;161;130;80;60;60;60;70
"slakoth";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/287.png";8;240;56;60;60;60;35;35;30
"vigoroth";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/288.png";14;465;154;80;80;80;55;55;90
"slaking";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/289.png";20;1305;252;160;100;150;95;65;100
"nincada";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/290.png";5;55;53;45;90;31;30;30;40
"ninjask";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/291.png";8;120;160;90;45;61;50;50;160
"shedinja";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/292.png";8;12;83;90;45;1;30;30;40
"whismur";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/293.png";6;163;48;51;23;64;51;23;28
"loudred";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/294.png";10;405;126;71;43;84;71;43;48
"exploud";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/295.png";15;840;221;91;63;104;91;73;68
"makuhita";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/296.png";10;864;47;60;30;72;20;30;25
"hariyama";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/297.png";23;2538;166;120;60;144;40;60;50
"azurill";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/298.png";2;20;38;20;40;50;20;40;20
"nosepass";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/299.png";10;970;75;45;135;30;45;90;30
"skitty";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/300.png";6;110;52;45;45;50;35;35;50
"delcatty";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/301.png";11;326;133;65;65;70;55;55;70
"sableye";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/302.png";5;110;133;75;75;50;65;65;50
"mawile";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/303.png";6;115;133;85;85;50;55;55;50
"aron";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/304.png";4;600;66;70;100;50;40;40;30
"lairon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/305.png";9;1200;151;90;140;60;50;50;40
"aggron";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/306.png";21;3600;239;110;180;70;60;60;50
"meditite";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/307.png";6;112;56;40;55;30;40;55;60
"medicham";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/308.png";13;315;144;60;75;60;60;75;80
"electrike";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/309.png";6;152;59;45;40;40;65;40;65
"manectric";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/310.png";15;402;166;75;60;70;105;60;105
"plusle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/311.png";4;42;142;50;40;60;85;75;95
"minun";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/312.png";4;42;142;40;50;60;75;85;95
"volbeat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/313.png";7;177;140;73;55;65;47;75;85
"illumise";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/314.png";6;177;140;47;55;65;73;75;85
"roselia";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/315.png";3;20;140;60;45;50;100;80;65
"gulpin";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/316.png";4;103;60;43;53;70;43;53;40
"swalot";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/317.png";17;800;163;73;83;100;73;83;55
"carvanha";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/318.png";8;208;61;90;20;45;65;20;65
"sharpedo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/319.png";18;888;161;120;40;70;95;40;95
"wailmer";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/320.png";20;1300;80;70;35;130;70;35;60
"wailord";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/321.png";145;3980;175;90;45;170;90;45;60
"numel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/322.png";7;240;61;60;40;60;65;45;35
"camerupt";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/323.png";19;2200;161;100;70;70;105;75;40
"torkoal";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/324.png";5;804;165;85;140;70;85;70;20
"spoink";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/325.png";7;306;66;25;35;60;70;80;60
"grumpig";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/326.png";9;715;165;45;65;80;90;110;80
"spinda";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/327.png";11;50;126;60;60;60;60;60;60
"trapinch";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/328.png";7;150;58;100;45;45;45;45;10
"vibrava";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/329.png";11;153;119;70;50;50;50;50;70
"flygon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/330.png";20;820;234;100;80;80;80;80;100
"cacnea";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/331.png";4;513;67;85;40;50;85;40;35
"cacturne";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/332.png";13;774;166;115;60;70;115;60;55
"swablu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/333.png";4;12;62;40;60;45;40;75;50
"altaria";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/334.png";11;206;172;70;90;75;70;105;80
"zangoose";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/335.png";13;403;160;115;60;73;60;60;90
"seviper";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/336.png";27;525;160;100;60;73;100;60;65
"lunatone";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/337.png";10;1680;154;55;65;70;95;85;70
"solrock";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/338.png";12;1540;154;95;85;70;55;65;70
"barboach";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/339.png";4;19;58;48;43;50;46;41;60
"whiscash";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/340.png";9;236;164;78;73;110;76;71;60
"corphish";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/341.png";6;115;62;80;65;43;50;35;35
"crawdaunt";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/342.png";11;328;164;120;85;63;90;55;55
"baltoy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/343.png";5;215;60;40;55;40;40;70;55
"claydol";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/344.png";15;1080;175;70;105;60;70;120;75
"lileep";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/345.png";10;238;71;41;77;66;61;87;23
"cradily";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/346.png";15;604;173;81;97;86;81;107;43
"anorith";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/347.png";7;125;71;95;50;45;40;50;75
"armaldo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/348.png";15;682;173;125;100;75;70;80;45
"feebas";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/349.png";6;74;40;15;20;20;10;55;80
"milotic";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/350.png";62;1620;189;60;79;95;100;125;81
"castform";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/351.png";3;8;147;70;70;70;70;70;70
"kecleon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/352.png";10;220;154;90;70;60;60;120;40
"shuppet";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/353.png";6;23;59;75;35;44;63;33;45
"banette";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/354.png";11;125;159;115;65;64;83;63;65
"duskull";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/355.png";8;150;59;40;90;20;30;90;25
"dusclops";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/356.png";16;306;159;70;130;40;60;130;25
"tropius";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/357.png";20;1000;161;68;83;99;72;87;51
"chimecho";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/358.png";6;10;149;50;70;65;95;80;65
"absol";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/359.png";12;470;163;130;60;65;75;60;75
"wynaut";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/360.png";6;140;52;23;48;95;23;48;23
"snorunt";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/361.png";7;168;60;50;50;50;50;50;50
"glalie";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/362.png";15;2565;168;80;80;80;80;80;80
"spheal";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/363.png";8;395;58;40;50;70;55;50;25
"sealeo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/364.png";11;876;144;60;70;90;75;70;45
"walrein";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/365.png";14;1506;239;80;90;110;95;90;65
"clamperl";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/366.png";4;525;69;64;85;35;74;55;32
"huntail";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/367.png";17;270;170;104;105;55;94;75;52
"gorebyss";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/368.png";18;226;170;84;105;55;114;75;52
"relicanth";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/369.png";10;234;170;90;130;100;45;65;55
"luvdisc";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/370.png";6;87;116;30;55;43;40;65;97
"bagon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/371.png";6;421;60;75;60;45;40;30;50
"shelgon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/372.png";11;1105;147;95;100;65;60;50;50
"salamence";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/373.png";15;1026;270;135;80;95;110;80;100
"beldum";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/374.png";6;952;60;55;80;40;35;60;30
"metang";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/375.png";12;2025;147;75;100;60;55;80;50
"metagross";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/376.png";16;5500;270;135;130;80;95;90;70
"regirock";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/377.png";17;2300;261;100;200;80;50;100;50
"regice";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/378.png";18;1750;261;50;100;80;100;200;50
"registeel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/379.png";19;2050;261;75;150;80;75;150;50
"latias";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/380.png";14;400;270;80;90;80;110;130;110
"latios";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/381.png";20;600;270;90;80;80;130;110;110
"kyogre";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/382.png";45;3520;302;100;90;100;150;140;90
"groudon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/383.png";35;9500;302;150;140;100;100;90;90
"rayquaza";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/384.png";70;2065;306;150;90;105;150;90;95
"jirachi";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/385.png";3;11;270;100;100;100;100;100;100
"deoxys-normal";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/386.png";17;608;270;150;50;50;150;50;150
"turtwig";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/387.png";4;102;64;68;64;55;45;55;31
"grotle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/388.png";11;970;142;89;85;75;55;65;36
"torterra";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/389.png";22;3100;236;109;105;95;75;85;56
"chimchar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/390.png";5;62;62;58;44;44;58;44;61
"monferno";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/391.png";9;220;142;78;52;64;78;52;81
"infernape";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/392.png";12;550;240;104;71;76;104;71;108
"piplup";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/393.png";4;52;63;51;53;53;61;56;40
